epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,55760.1,1.02824,0.81012,1.95149,0.89634,0.87885,0.91254,0.63186,1.19843,0.87184,3.17138,0.0005314,0.0005314,0.0005314
144,56157.6,1.00599,0.78726,1.89409,0.92365,0.86119,0.91479,0.62949,1.22209,0.86214,3.22414,0.0005281,0.0005281,0.0005281
145,56553,1.01754,0.79832,1.91021,0.90495,0.89361,0.91842,0.63755,1.28291,0.89601,3.10164,0.0005248,0.0005248,0.0005248
146,56899.6,1.00061,0.79524,1.91857,0.92282,0.87658,0.93004,0.64525,1.27421,0.8606,3.11064,0.0005215,0.0005215,0.0005215
147,57301.4,0.99364,0.78907,1.92269,0.90431,0.88994,0.92339,0.64174,1.23874,0.81544,3.15823,0.0005182,0.0005182,0.0005182
148,57754.1,1.00487,0.78407,1.89138,0.92218,0.86534,0.92956,0.65035,1.2129,0.79265,3.19364,0.0005149,0.0005149,0.0005149
149,58109.1,0.99682,0.79068,1.90885,0.92382,0.86364,0.92162,0.65125,1.218,0.83984,3.30851,0.0005116,0.0005116,0.0005116
150,58461.4,0.99585,0.77821,1.89031,0.92183,0.86857,0.92642,0.64932,1.20809,0.8369,3.26811,0.0005083,0.0005083,0.0005083
151,58812.9,1.00143,0.78328,1.91776,0.93962,0.86631,0.93437,0.66261,1.20206,0.80314,3.25805,0.000505,0.000505,0.000505
152,59166.4,1.01214,0.77868,1.88878,0.9094,0.85755,0.91488,0.64272,1.25315,0.84095,3.4206,0.0005017,0.0005017,0.0005017
153,59521.8,0.98307,0.75672,1.87552,0.92115,0.87517,0.90766,0.64332,1.16304,0.80646,3.24495,0.0004984,0.0004984,0.0004984
154,59918.9,0.98194,0.75565,1.84712,0.89744,0.88592,0.92677,0.64681,1.2434,0.86391,3.08219,0.0004951,0.0004951,0.0004951
155,60274.2,1.01159,0.78451,1.90973,0.88342,0.8768,0.91821,0.64771,1.22473,0.88347,3.00072,0.0004918,0.0004918,0.0004918
156,60632.5,0.99892,0.78786,1.9081,0.9128,0.86632,0.92293,0.65404,1.19817,0.86786,3.13728,0.0004885,0.0004885,0.0004885
157,60986.8,0.98396,0.76955,1.85836,0.88284,0.89984,0.92503,0.65942,1.18791,0.85154,3.09377,0.0004852,0.0004852,0.0004852
158,61395.4,0.98501,0.77363,1.90641,0.89991,0.86983,0.90783,0.6421,1.17956,0.87488,2.94666,0.0004819,0.0004819,0.0004819
159,61747.9,0.97345,0.7625,1.88787,0.88404,0.86006,0.91706,0.64057,1.20379,0.87529,3.15096,0.0004786,0.0004786,0.0004786
160,62153.1,0.9855,0.77854,1.9013,0.91727,0.84958,0.91828,0.64857,1.2246,0.9389,3.21784,0.0004753,0.0004753,0.0004753
161,62563.7,0.98721,0.7833,1.87912,0.92113,0.86754,0.9199,0.64448,1.21658,0.91893,3.21896,0.000472,0.000472,0.000472
162,62915,0.98045,0.77413,1.87527,0.91524,0.86354,0.92242,0.6535,1.23494,0.90973,3.32629,0.0004687,0.0004687,0.0004687
163,63269.5,0.98099,0.77268,1.87461,0.89405,0.88517,0.91613,0.65366,1.19052,0.86219,3.01072,0.0004654,0.0004654,0.0004654
164,63629.4,0.97327,0.77589,1.88031,0.93236,0.86114,0.91964,0.65259,1.20141,0.87132,3.10427,0.0004621,0.0004621,0.0004621
165,64034.4,0.95095,0.73941,1.84144,0.85721,0.88395,0.90985,0.64089,1.19093,0.89299,3.0017,0.0004588,0.0004588,0.0004588
166,64445.1,0.97082,0.77201,1.883,0.9068,0.87839,0.91998,0.64657,1.17111,0.86878,3.33648,0.0004555,0.0004555,0.0004555
167,64800.6,0.97507,0.77625,1.90132,0.91024,0.86475,0.91475,0.64644,1.14574,0.90587,3.16393,0.0004522,0.0004522,0.0004522
168,65151.9,0.97005,0.75175,1.84469,0.8911,0.86242,0.91501,0.6502,1.17122,0.84889,3.06667,0.0004489,0.0004489,0.0004489
169,65548.6,0.9809,0.75605,1.85947,0.90413,0.84733,0.90474,0.63913,1.20136,0.966,2.97904,0.0004456,0.0004456,0.0004456
170,65895.1,0.95188,0.74269,1.83821,0.91148,0.8617,0.91348,0.64492,1.2119,0.90803,3.13524,0.0004423,0.0004423,0.0004423
171,66246,0.96576,0.75335,1.84467,0.8871,0.88709,0.92306,0.6468,1.19671,0.85279,3.23293,0.000439,0.000439,0.000439
